237, 31, 0.533333, 0.490196, 0.513725, 0.505774, 0.018141, 0.016451, 0.909091, 0.080882, 0.533333, 0
314, 54, 0.384314, 0.349020, 0.360784, 0.360912, 0.017250, 0.011128, 0.944444, 0.091837, 0.384314, 0
322, 111, 0.290196, 0.282353, 0.325490, 0.289616, -0.009197, 0.015092, 0.696970, 0.132530, 0.325490, 0
362, 159, 0.223529, 0.345098, 0.768627, 0.357048, -0.208637, 0.106181, 0.629496, 0.709184, 0.768627, 0
353, 246, 0.047059, 0.062745, 0.074510, 0.059397, -0.013131, 0.000346, 0.571429, 0.368421, 0.074510, 0
323, 310, 0.988235, 0.968627, 0.984314, 0.976278, 0.006641, 0.009032, 0.866667, 0.019841, 0.988235, 0
228, 308, 0.196078, 0.196078, 0.243137, 0.201444, -0.015132, 0.014655, 0.666667, 0.193548, 0.243137, 0
117, 314, 0.105882, 0.101961, 0.133333, 0.106710, -0.007751, 0.010599, 0.687500, 0.235294, 0.133333, 0
60, 211, 0.623529, 0.572549, 0.505882, 0.580188, 0.051819, -0.009979, 0.094444, 0.188679, 0.623529, 0
40, 115, 0.909804, 0.980392, 0.996078, 0.961079, -0.047111, -0.010044, 0.530303, 0.086614, 0.996078, 0
25, 40, 0.317647, 0.298039, 0.325490, 0.307031, 0.002858, 0.012696, 0.785714, 0.084337, 0.325490, 0
59, 24, 0.329412, 0.301961, 0.333333, 0.313744, 0.006271, 0.015576, 0.812500, 0.094118, 0.333333, 0
95, 23, 0.274510, 0.254902, 0.278431, 0.263446, 0.004119, 0.011474, 0.805556, 0.084507, 0.278431, 0
148, 23, 0.462745, 0.423529, 0.458824, 0.439277, 0.012021, 0.019285, 0.850000, 0.084746, 0.462745, 0
350, 30, 0.054902, 0.054902, 0.047059, 0.054008, 0.002522, -0.002442, 0.166667, 0.142857, 0.054902, 0
393, 19, 0.070588, 0.082353, 0.141176, 0.085543, -0.025926, 0.015830, 0.638889, 0.500000, 0.141176, 0
626, 38, 0.023529, 0.015686, 0.019608, 0.018478, 0.003413, 0.002880, 0.916667, 0.333333, 0.023529, 0
618, 122, 0.019608, 0.011765, 0.023529, 0.015451, 0.000891, 0.005322, 0.777778, 0.500000, 0.023529, 0
594, 208, 0.513725, 0.509804, 0.494118, 0.509188, 0.007381, -0.004056, 0.133333, 0.038168, 0.513725, 0
590, 290, 0.286275, 0.278431, 0.282353, 0.281223, 0.003413, 0.002880, 0.916667, 0.027397, 0.286275, 0
549, 322, 0.368627, 0.337255, 0.329412, 0.345739, 0.021218, 0.004193, 0.033333, 0.106383, 0.368627, 0
478, 312, 0.070588, 0.058824, 0.086275, 0.065470, -0.001816, 0.011037, 0.738095, 0.318182, 0.086275, 0
445, 276, 0.349020, 0.333333, 0.337255, 0.338470, 0.008087, 0.004539, 0.958333, 0.044944, 0.349020, 0
420, 261, 0.329412, 0.305882, 0.305882, 0.312916, 0.014022, 0.004976, 0.000000, 0.071429, 0.329412, 0
403, 198, 0.341176, 0.415686, 0.725490, 0.428737, -0.144023, 0.080718, 0.634354, 0.529730, 0.725490, 0
292, 213, 0.262745, 0.227451, 0.207843, 0.235766, 0.027338, 0.001358, 0.059524, 0.208955, 0.262745, 0
285, 269, 0.447059, 0.384314, 0.388235, 0.403518, 0.036132, 0.014492, 0.989583, 0.140351, 0.447059, 0
266, 345, 0.094118, 0.094118, 0.125490, 0.097695, -0.010088, 0.009770, 0.666667, 0.250000, 0.125490, 0
59, 285, 0.062745, 0.058824, 0.082353, 0.062679, -0.005229, 0.008157, 0.694444, 0.285714, 0.082353, 0
44, 242, 0.211765, 0.235294, 0.282353, 0.233626, -0.029154, 0.009678, 0.611111, 0.250000, 0.282353, 0
29, 177, 0.266667, 0.286275, 0.301961, 0.282202, -0.016729, 0.000738, 0.574074, 0.116883, 0.301961, 0
